[class] name=MPSGraph superclass=MPSGraphObject
[method] class=MPSGraph kind=instance selector=reductionSumWithTensor:axes:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=resizeNearestWithTensor:sizeTensor:nearestRoundingMode:centerResult:alignCorners:name: types=@56@0:8@16@24Q32B40B44@48
[method] class=MPSGraph kind=instance selector=resizeTensor:size:mode:centerResult:alignCorners:layout:name: types=@64@0:8@16@24Q32B40B44Q48@56
[method] class=MPSGraph kind=instance selector=reverseSquareRootWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=reverseTensor:axes:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=roundWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=scatterAlongAxis:withDataTensor:updatesTensor:indicesTensor:mode:name: types=@64@0:8q16@24@32@40q48@56
[method] class=MPSGraph kind=instance selector=selectWithPredicateTensor:truePredicateTensor:falsePredicateTensor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=signWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=sinWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=sinhWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=sliceTensor:starts:ends:strides:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=softMaxWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=splitTensor:numSplits:axis:name: types=@48@0:8@16Q24q32@40
[method] class=MPSGraph kind=instance selector=splitTensor:splitSizes:axis:name: types=@48@0:8@16@24q32@40
[method] class=MPSGraph kind=instance selector=squareRootWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=squareWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=subtractionWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=tanWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=tanhWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=topKWithSourceTensor:axis:k:name: types=@48@0:8@16q24Q32@40
[method] class=MPSGraph kind=instance selector=transposeTensor:dimension:withDimension:name: types=@48@0:8@16Q24Q32@40
[method] class=MPSGraph kind=instance selector=transposeTensor:permutation:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=compilerOptions types=Q16@0:8
[method] class=MPSGraph kind=instance selector=setCompilerOptions: types=v24@0:8Q16
[method] class=MPSGraph kind=instance selector=convolution2DDataGradientWithIncomingGradientTensor:weightsTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolution2DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DDataGradientWithIncomingGradientTensor:weightsTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShape:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DWithSourceTensor:weightsTensor:outputShape:descriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=depthwiseConvolution2DDataGradientWithIncomingGradientTensor:weightsTensor:outputShape:descriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=depthwiseConvolution2DWeightsGradientWithIncomingGradientTensor:sourceTensor:outputShape:descriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=depthwiseConvolution2DWithSourceTensor:weightsTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=reLUWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=sigmoidWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=compileWithDevice:feeds:targetTensors:targetOperations:compilationDescriptor: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DWithSourceTensor:weightsTensor:outputShapeTensor:descriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=depthToSpace2DTensor:widthAxisTensor:heightAxisTensor:depthAxisTensor:blockSize:usePixelShuffleOrder:name: types=@68@0:8@16@24@32@40Q48B56@60
[method] class=MPSGraph kind=instance selector=dequantizeTensor:scaleTensor:zeroPointTensor:dataType:axis:name: types=@60@0:8@16@24@32I40q44@52
[method] class=MPSGraph kind=instance selector=maxPooling4DWithSourceTensor:descriptor:name: types=@40@0:8@16@24@32
