row,stage,pos,layer,e0,e1,e2,e3,e4,e5,w0,w1,w2,w3,w4,w5
369,prefill,9,36,241,144,79,106,90,10,0.619945,0.305296,0.247665,0.160276,0.110293,0.056524
370,prefill,0,37,93,128,166,80,237,227,1.484720,0.006194,0.004258,0.004020,0.000259,0.000549
371,prefill,1,37,110,80,171,51,122,204,0.878286,0.206213,0.146798,0.096507,0.104645,0.067550
372,prefill,2,37,152,212,110,51,37,221,0.498358,0.420199,0.363520,0.118057,0.052295,0.047570
373,prefill,3,37,243,55,152,189,246,212,0.373920,0.343390,0.313831,0.197831,0.136028,0.135000
374,prefill,4,37,55,83,243,222,13,214,0.614270,0.294580,0.228202,0.123952,0.140773,0.098223
375,prefill,5,37,55,10,204,83,222,13,0.570369,0.339509,0.163934,0.156015,0.120043,0.150131
376,prefill,6,37,55,160,106,242,213,129,0.476010,0.453924,0.298492,0.104813,0.083083,0.083678
377,prefill,7,37,55,114,243,110,213,108,0.447299,0.421758,0.249572,0.143825,0.123275,0.114273
378,prefill,8,37,55,106,160,5,66,243,0.542494,0.419115,0.212718,0.103719,0.133216,0.088737
379,prefill,9,37,108,55,5,70,106,205,0.559774,0.414057,0.172339,0.159405,0.120217,0.074207
380,prefill,0,38,152,245,80,115,14,20,1.459374,0.011820,0.015675,0.003874,0.003943,0.005314
381,prefill,1,38,33,30,114,23,88,73,0.795598,0.223682,0.149458,0.126352,0.104776,0.100134
382,prefill,2,38,22,30,104,68,23,73,0.791462,0.350265,0.092400,0.090284,0.101147,0.074442
383,prefill,3,38,22,38,155,23,35,15,0.506037,0.317938,0.267817,0.190187,0.123660,0.094361
384,prefill,4,38,155,35,178,38,15,27,0.373481,0.350393,0.262211,0.205383,0.153148,0.155383
385,prefill,5,38,27,23,187,155,232,178,0.334439,0.311570,0.278941,0.260308,0.161531,0.153211
386,prefill,6,38,10,23,27,15,152,95,0.674147,0.221543,0.174955,0.165417,0.131350,0.132588
387,prefill,7,38,131,10,95,27,147,216,0.909850,0.258213,0.097040,0.096426,0.076612,0.061860
388,prefill,8,38,10,6,15,95,27,131,0.641204,0.186293,0.173014,0.171568,0.167045,0.160877
389,prefill,9,38,10,15,95,152,27,230,0.562432,0.225873,0.199337,0.179070,0.186111,0.147177
390,prefill,0,39,228,64,217,141,204,7,1.429866,0.015443,0.019403,0.010510,0.008422,0.016356
391,prefill,1,39,121,184,143,47,34,83,0.450845,0.378782,0.280801,0.152883,0.124471,0.112218
392,prefill,2,39,228,121,106,163,213,226,0.510520,0.273937,0.228459,0.195849,0.179265,0.111970
393,prefill,3,39,213,228,106,52,159,121,0.370650,0.293184,0.259549,0.244851,0.166116,0.165650
394,prefill,4,39,117,126,121,106,223,159,0.487488,0.352653,0.206973,0.200203,0.146614,0.106069
395,prefill,5,39,147,80,228,121,163,243,0.469064,0.301801,0.237039,0.198101,0.149405,0.144590
396,prefill,6,39,221,183,121,0,181,255,0.507316,0.402584,0.174033,0.143146,0.140320,0.132601
397,prefill,7,39,101,121,83,183,204,4,0.289231,0.265342,0.257433,0.254084,0.226953,0.206958
398,prefill,8,39,221,183,83,134,121,158,0.605025,0.390074,0.140117,0.129273,0.120890,0.114621
399,prefill,9,39,42,221,183,121,55,158,0.463652,0.445933,0.274107,0.143236,0.107295,0.065778
400,prefill,0,40,29,222,169,184,9,179,1.404380,0.016730,0.034592,0.015378,0.016002,0.012917
401,prefill,1,40,164,211,7,41,111,248,0.785874,0.240018,0.137013,0.128885,0.110446,0.097764
402,prefill,2,40,230,164,7,39,54,104,0.674630,0.511343,0.115440,0.081130,0.060619,0.056838
403,prefill,3,40,112,230,104,12,210,142,0.350805,0.320038,0.287696,0.231093,0.221364,0.089006
404,prefill,4,40,104,142,12,40,38,111,0.576676,0.238702,0.212978,0.187609,0.144027,0.140008
405,prefill,5,40,104,132,154,40,207,90,0.665085,0.198998,0.162197,0.169709,0.165006,0.139005
406,prefill,6,40,104,208,143,7,122,62,0.550658,0.244720,0.198818,0.182945,0.171673,0.151186
407,prefill,7,40,104,33,168,235,62,76,0.615033,0.292372,0.166145,0.171682,0.128488,0.126279
408,prefill,8,40,104,168,143,208,225,122,0.530497,0.229668,0.208058,0.202115,0.167568,0.162095
409,prefill,9,40,104,62,102,168,19,208,0.606742,0.180799,0.199895,0.171604,0.164053,0.176907
410,prefill,0,41,154,109,112,85,142,164,1.472174,0.007447,0.005984,0.006552,0.003900,0.003943
411,prefill,1,41,57,52,142,64,129,243,0.823439,0.320954,0.213538,0.057520,0.045149,0.039400
412,prefill,2,41,109,107,243,97,57,128,0.440842,0.297449,0.291161,0.168417,0.159904,0.142227
413,prefill,3,41,164,243,251,225,139,236,0.600535,0.280089,0.218864,0.183098,0.116870,0.100544
414,prefill,4,41,243,209,65,185,228,225,0.382448,0.291535,0.245813,0.252725,0.173248,0.154230
415,prefill,5,41,109,54,209,243,52,225,0.413964,0.351525,0.238557,0.193926,0.145484,0.156543
416,prefill,6,41,153,233,109,232,243,22,0.372463,0.343265,0.219835,0.233579,0.165074,0.165783
417,prefill,7,41,65,243,227,233,130,246,0.812036,0.155089,0.148277,0.142343,0.128736,0.113519
418,prefill,8,41,153,227,232,22,243,8,0.391333,0.364094,0.218331,0.199060,0.169721,0.157461
419,prefill,9,41,233,183,243,153,120,97,0.464665,0.398226,0.168551,0.169978,0.150380,0.148199
420,prefill,0,42,26,23,123,154,28,152,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000
421,prefill,1,42,78,34,137,75,149,209,0.797807,0.413998,0.075298,0.076478,0.086856,0.049563
422,prefill,2,42,202,50,133,117,195,137,0.883847,0.164474,0.117987,0.149963,0.097426,0.086303
423,prefill,3,42,70,239,137,142,119,59,0.620621,0.330279,0.154621,0.160922,0.135355,0.098201
424,prefill,4,42,70,3,99,239,59,12,0.452572,0.266654,0.257711,0.244056,0.142438,0.136570
425,prefill,5,42,14,6,239,202,59,70,0.628523,0.197470,0.201732,0.216020,0.140094,0.116161
426,prefill,6,42,137,73,251,217,41,168,0.290599,0.333159,0.325308,0.284428,0.142278,0.124227
427,prefill,7,42,63,12,178,160,209,0,0.644561,0.195545,0.196736,0.161983,0.155718,0.145456
428,prefill,8,42,217,73,97,137,0,41,0.476841,0.371006,0.173757,0.169904,0.169085,0.139408
429,prefill,9,42,137,217,222,132,123,168,0.469993,0.367211,0.200668,0.169474,0.150089,0.142565
430,decode,10,0,242,126,217,85,4,175,0.587657,0.059604,0.073032,0.465802,0.215630,0.098277
431,decode,10,1,168,137,59,203,65,210,0.268398,0.072239,0.358458,0.402416,0.317479,0.081011
432,decode,10,2,233,87,227,108,146,199,0.237837,0.416177,0.399277,0.268781,0.089935,0.087993
433,decode,10,3,119,177,108,1,112,63,0.334998,0.295759,0.217357,0.231170,0.214132,0.206583
434,decode,10,4,15,8,97,228,186,113,0.692747,0.203914,0.196532,0.139951,0.142704,0.124152
435,decode,10,5,32,169,93,10,72,129,0.486858,0.413897,0.293783,0.113742,0.097241,0.094479
436,decode,10,6,137,10,16,1,30,214,0.385202,0.289737,0.226437,0.213361,0.204173,0.181089
437,decode,10,7,141,233,196,110,209,251,0.518053,0.409354,0.278417,0.124954,0.096974,0.072248
438,decode,10,8,84,28,20,135,102,197,0.314995,0.282488,0.288256,0.219903,0.213282,0.181077
439,decode,10,9,86,235,57,191,246,199,0.457161,0.360161,0.254950,0.173384,0.142963,0.111380
440,decode,10,10,40,245,31,222,11,201,0.437099,0.296991,0.300551,0.215265,0.153868,0.096227
441,decode,10,11,27,30,89,3,34,94,0.461405,0.231629,0.209928,0.209375,0.218326,0.169337
442,decode,10,12,15,142,148,253,14,43,0.502058,0.304844,0.201334,0.176836,0.160842,0.154087
443,decode,10,13,160,91,4,148,77,53,0.378989,0.346794,0.271937,0.203493,0.201982,0.096805
444,decode,10,14,235,49,2,88,173,200,0.609357,0.423539,0.213933,0.090160,0.090327,0.072683
445,decode,10,15,27,46,83,104,95,213,0.348084,0.261907,0.250044,0.237201,0.196793,0.205971
446,decode,10,16,30,227,61,86,205,104,0.271067,0.283285,0.243336,0.246828,0.236670,0.218813
447,decode,10,17,108,72,211,5,238,33,0.412404,0.322161,0.221511,0.199174,0.192213,0.152537
448,decode,10,18,183,246,43,249,208,139,0.413870,0.236826,0.233181,0.229736,0.211465,0.174922
449,decode,10,19,17,40,122,117,107,207,0.576754,0.556958,0.120651,0.089115,0.080329,0.076191
450,decode,10,20,254,149,219,187,156,218,0.414897,0.300536,0.262780,0.221671,0.168039,0.132077
451,decode,10,21,211,49,109,177,62,75,0.576342,0.335410,0.242411,0.136865,0.104656,0.104317
452,decode,10,22,239,247,238,147,114,0,0.539496,0.396464,0.193098,0.137363,0.130033,0.103546
453,decode,10,23,210,225,233,14,88,240,0.691936,0.199522,0.184397,0.147841,0.136310,0.139994
454,decode,10,24,67,209,139,242,58,123,0.728939,0.330200,0.194106,0.099202,0.081961,0.065591
455,decode,10,25,92,133,61,173,219,216,0.461719,0.326526,0.265710,0.164194,0.153773,0.128080
456,decode,10,26,191,61,201,18,100,78,0.457488,0.361998,0.232502,0.188364,0.147002,0.112646
457,decode,10,27,172,25,222,185,152,9,0.468616,0.344922,0.269009,0.266214,0.087264,0.063975
458,decode,10,28,130,19,7,204,93,71,0.634813,0.280851,0.254403,0.113822,0.114794,0.101316
459,decode,10,29,12,140,81,2,230,226,0.393717,0.332369,0.282194,0.205156,0.159388,0.127176
460,decode,10,30,252,191,123,85,249,230,0.487956,0.242428,0.232243,0.184547,0.180528,0.172297
461,decode,10,31,202,123,245,46,3,142,0.358308,0.269733,0.264217,0.258467,0.176764,0.172511
462,decode,10,32,193,17,51,219,46,165,0.461266,0.369620,0.277617,0.253568,0.070915,0.067015
463,decode,10,33,58,174,195,182,212,80,0.568072,0.369076,0.252585,0.124919,0.093617,0.091730
464,decode,10,34,201,226,126,231,44,67,0.347799,0.330152,0.262135,0.216560,0.195671,0.147684
465,decode,10,35,215,84,211,15,174,27,0.505415,0.271682,0.219631,0.228658,0.187229,0.087386
466,decode,10,36,144,241,79,90,10,106,0.461544,0.316562,0.241979,0.176693,0.160627,0.142595
467,decode,10,37,55,179,108,106,250,5,0.436780,0.301189,0.270579,0.216824,0.149703,0.124925
468,decode,10,38,10,6,15,95,152,27,0.620357,0.221522,0.187574,0.164487,0.151681,0.154378
469,decode,10,39,33,221,183,83,230,243,0.573507,0.382919,0.300256,0.091385,0.076451,0.075482
470,decode,10,40,104,102,62,122,168,73,0.538198,0.306120,0.215802,0.171603,0.133866,0.134411
471,decode,10,41,78,233,103,186,227,153,0.331773,0.291995,0.249541,0.234213,0.194652,0.197826
472,decode,10,42,217,131,97,41,0,251,0.556697,0.249598,0.170228,0.151915,0.148011,0.223550
